X Y Z
-486990.19 -1117517.92 247.45
-486999.58 -1117590.24 249.94
-487016.74 -1117722.4 253.42
-486983.17 -1117464.52 246.13
-486990.21 -1117519.13 247.66
-486981.7 -1117453.8 245.64
-487007.24 -1117650.26 251.3
-486985.51 -1117483.14 247.59
-487017.06 -1117725.87 253.23
-486993.09 -1117541.64 247.87
-487037.4 -1117882.51 255.2
-487048.42 -1117967.46 254.85
-486994.09 -1117549.54 248.62
-487005.1 -1117634.34 251.07
-486997.59 -1117576.81 249.59
-486974.66 -1117400.41 243.74
-486985.57 -1117484.33 247.66
-486973.12 -1117388.66 243.29
-486990.35 -1117521.43 247.86
-486993.57 -1117546.19 247.18
-486993.42 -1117545.06 247.52
-486993.12 -1117542.79 247.88
-487022.89 -1117772.08 254.07
-486993.23 -1117543.96 247.78
-486993.77 -1117548.27 248.32
-487021.5 -1117761.72 253.83
-487048.68 -1117971.05 254.84
-487016.57 -1117724.12 253.35
-486988.04 -1117504.8 248.07
-486976.97 -1117419.93 244.5
-486990.76 -1117526.04 247.66
-487012.18 -1117690.87 252.25
-486993.53 -1117547.38 247.6
-486990.6 -1117524.91 247.78
-487002.73 -1117618.4 250.63
-487007.78 -1117657.52 251.36
-486990.83 -1117527.18 247.67
-486989.07 -1117513.87 247.95
-486997.98 -1117582.58 249.7
-487040.44 -1117909.35 255.16
-487022.22 -1117769.28 253.93
-487014.75 -1117711.97 252.96
-487000.36 -1117601.74 250.2
-486988.35 -1117509.45 248.14
-486983.85 -1117475 246.45
-486990.93 -1117529.51 247.83
-487049.31 -1117978.69 254.64
-487025.41 -1117794.91 254.3
-487007.95 -1117660.57 251.41
-487021.89 -1117767.87 253.89
-487010.27 -1117678.66 251.89
-486991.03 -1117530.67 247.85
-487027.91 -1117814.7 254.52
-486988.52 -1117511.74 248.08
-486986.16 -1117493.63 247.92
-486977.34 -1117425.85 244.71
-487007.06 -1117654.54 251.21
-486998.3 -1117587.18 249.75
-487008.1 -1117662.87 251.44
-486993.54 -1117550.9 248.62
-486992.48 -1117542.84 247.88
-486983.97 -1117477.38 246.69
-486999.21 -1117594.69 249.95
-486998.38 -1117588.3 249.79
-487014.08 -1117709.1 252.86
-486986.32 -1117495.95 247.94
-486991.43 -1117535.27 247.6
-486991.54 -1117536.39 247.46
-486989.22 -1117518.61 247.27
-486988.92 -1117516.33 247.66
-487043.77 -1117938.35 255.09
-487041.03 -1117917.66 255.15
-486991.61 -1117537.56 247.45
-487016.65 -1117730.2 253.34
-486982.94 -1117470.93 246.19
-486986.5 -1117498.27 247.92
-486989.23 -1117519.81 247.39
-486998.58 -1117591.78 249.91
-487008.4 -1117667.44 251.64
-487027.05 -1117810.99 254.52
-486977.74 -1117431.71 244.81
-486981.89 -1117463.71 246
-486986.66 -1117500.58 247.89
-487006.43 -1117652.71 251.17
-487016.08 -1117727.03 253.15
-487033.25 -1117859.2 255
-487018.3 -1117744.27 253.49
-487006.06 -1117650.15 251.22
-487025.47 -1117799.45 254.37
-486993.04 -1117549.98 248.22
-486986.76 -1117501.73 247.91
-486991.71 -1117539.88 247.63
-486989.24 -1117520.96 247.68
-487001.32 -1117613.91 250.42
-486993.73 -1117555.57 249.33
-486984.15 -1117482.09 247.28
-486989.33 -1117522.13 247.77
-486993.79 -1117556.7 249.4
-487001.12 -1117613.21 250.42
-487008.61 -1117670.91 251.73
-486996.72 -1117579.51 249.57
-487003.71 -1117633.31 251
-487028.64 -1117825.17 254.58
-486982.11 -1117467.23 246.15
-486984.18 -1117483.26 247.42
-486974.95 -1117412.69 244.08
-486984.27 -1117484.42 247.54
-486993.96 -1117558.98 249.41
-487045.53 -1117955.78 254.98
-487026.45 -1117809.06 254.46
-486972.93 -1117397.5 243.55
-486999.07 -1117598.66 249.98
-486984.74 -1117488.43 247.66
-487015.57 -1117725.86 253.08
-486984.33 -1117485.61 247.62
-486992.13 -1117545.65 247.68
-486991.97 -1117544.53 247.91
-486989.8 -1117527.88 247.66
-487001.34 -1117616.65 250.54
-487012.41 -1117701.96 252.62
-486992.37 -1117547.92 247.42
-487003.92 -1117636.74 251.09
-486992.17 -1117546.82 247.76
-487019.63 -1117758.17 253.7
-486989.85 -1117529.07 247.68
-487048.79 -1117982.55 254.56
-487011.22 -1117693.58 252.38
-487013.5 -1117711.23 252.91
-486992.41 -1117549.09 247.59
-486987.16 -1117508.72 248.16
-487021.17 -1117770.62 253.97
-487013.84 -1117714.22 253.05
-486987.27 -1117509.84 248.18
-487039.52 -1117912.07 255.15
-486997.18 -1117586.41 249.71
-486982.58 -1117474.24 246.27
-486982.84 -1117476.38 246.43
-486994.46 -1117565.9 249.37
-487043.08 -1117940.07 255.03
-486990.05 -1117532.51 247.85
-487009.36 -1117681.23 251.86
-486992.33 -1117550.28 248.11
-486987.52 -1117513.33 248.05
-486990.14 -1117533.68 247.86
-487001.78 -1117623.54 250.74
-486987.73 -1117515.63 247.94
-487009.4 -1117682.39 251.86
-487011.6 -1117699.32 252.53
-487020.41 -1117767.14 253.82
-487031.82 -1117854.99 254.91
-486990.49 -1117537.1 247.5
-486997.48 -1117591.01 249.84
-487042.52 -1117937.55 255.05
-486987.81 -1117516.76 247.87
-486990.6 -1117538.26 247.42
-486976.7 -1117431.39 244.79
-486984.95 -1117494.9 247.87
-486988.23 -1117520.17 247.28
-486987.9 -1117517.92 247.78
-487014.29 -1117721.08 253.25
-486990.64 -1117539.41 247.44
-487014.38 -1117722.24 253.24
-487016.96 -1117742.15 253.38
-487047.4 -1117976.33 254.61
-486988.25 -1117521.33 247.52
-487019.47 -1117761.55 253.78
-486999.87 -1117611.28 250.35
-486985.17 -1117498.38 247.93
-486982.85 -1117480.59 246.83
-486997.52 -1117593.47 249.82
-487034.96 -1117881.6 255.11
-486997.77 -1117595.6 249.91
-486988.26 -1117522.53 247.62
-486990.75 -1117541.73 247.66
-486979.04 -1117451.64 245.37
-487005.02 -1117651.66 251.07
-487011.95 -1117705.06 252.74
-487004.45 -1117647.54 251.16
-486995.18 -1117576.27 249.4
-487048.32 -1117985.35 254.41
-487044.85 -1117958.75 254.87
-486985.42 -1117501.83 247.95
-487033.41 -1117871.47 254.98
-486990.97 -1117545.21 247.86
-486991.29 -1117548 247.65
-486985.56 -1117504.18 247.99
-486991.02 -1117546.37 247.84
-486988.81 -1117529.45 247.64
-486988.64 -1117528.3 247.78
-486991.28 -1117548.64 247.61
-487008.07 -1117677.95 251.75
-487006.71 -1117667.51 251.55
-487014.3 -1117726.06 253.06
-486983.14 -1117486.36 247.56
-486988.87 -1117530.57 247.73
-486976.78 -1117437.55 244.94
-486995.55 -1117582.01 249.6
-486972.16 -1117402.44 243.65
-487003.42 -1117643.07 251.04
-486991.29 -1117549.82 247.78
-487039.15 -1117917.99 255.05
-486983.29 -1117488.29 247.62
-486991.38 -1117550.95 247.93
-486995.71 -1117584.31 249.64
-487013.91 -1117724.55 253.01
-486993.05 -1117564.18 249.38
-487038.86 -1117916.7 255.05
-486988.97 -1117532.92 247.84
-487043.65 -1117953.56 254.96
-487013.69 -1117723.29 253.07
-487048.45 -1117990.82 254.31
-486981.28 -1117474.1 246.17
-486985.93 -1117509.95 248.16
-486981.63 -1117477.01 246.35
-486989.15 -1117535.21 247.87
-487013.4 -1117721.91 253.17
-486981.71 -1117478.16 246.41
-487002.73 -1117640.11 251.04
-486986.1 -1117512.25 248.13
-486991.42 -1117553.28 248.42
-486989.22 -1117536.4 247.8
-487008.51 -1117684.84 251.96
-487047.14 -1117982.12 254.51
-486981.77 -1117479.35 246.5
-487001.23 -1117629.32 250.81
-486989.59 -1117539.8 247.43
-487003.28 -1117645.33 251.06
-487002.38 -1117638.62 250.97
-486986.49 -1117516.87 247.98
-487012.75 -1117719.07 253.15
-486989.68 -1117542.14 247.55
-486991.43 -1117555.64 248.95
-487001.19 -1117630.82 250.78
-486986.68 -1117519.17 247.83
-487047.6 -1117988.17 254.38
-487003.62 -1117649.93 251
-486987.06 -1117522.58 247.28
-486986.77 -1117520.31 247.67
-487031.25 -1117862.56 254.91
-486974.93 -1117429.42 244.72
-487013.72 -1117728.1 253.15
-487047.07 -1117984.63 254.4
-486970.94 -1117399.06 243.44
-487006.44 -1117672.22 251.55
-486980.19 -1117470.39 246.1
-487031.42 -1117864.91 254.9
-486987.08 -1117523.75 247.52
-486989.91 -1117545.6 247.8
-487032.13 -1117870.51 254.94
-487011.1 -1117708.77 252.68
-486984.1 -1117501.05 247.98
-486991.64 -1117559.13 249.31
-487028.95 -1117846.23 254.71
-487013.44 -1117726.89 253.09
-486973.08 -1117416.62 244.13
-486996.82 -1117599.31 249.83
-487011.19 -1117709.91 252.73
-487001.46 -1117635.4 250.94
-486987.09 -1117524.96 247.72
-487036.83 -1117907.75 255.06
-486980.42 -1117473.89 246.13
-486982.04 -1117486.42 247.39
-486989.98 -1117547.93 248.06
-486980.51 -1117475.06 246.16
-487000.98 -1117632.64 250.82
-486990.11 -1117549.06 247.97
-487026.58 -1117829.73 254.54
-486982.07 -1117487.6 247.62
-487041.19 -1117942.4 255.01
-486994.25 -1117581.44 249.49
-486991.95 -1117563.72 249.32
-486996.86 -1117601.55 250.01
-486982.19 -1117488.75 247.62
-486999.43 -1117621.72 250.55
-486990.14 -1117550.25 248.06
-486980.66 -1117477.41 246.22
-486990.26 -1117551.38 247.93
-486990.35 -1117552.53 247.9
-487001.86 -1117641.13 251
-486987.65 -1117531.85 247.66
-486987.5 -1117530.7 247.73
-487004.3 -1117660.27 251.2
-486984.64 -1117509.17 248.11
-487032.35 -1117876.26 255.04
-487043.92 -1117965.48 254.75
-486987.69 -1117533 247.74
-487042.86 -1117957.53 254.81
-486999.82 -1117626.63 250.69
-487003.2 -1117652.67 251
-486992.38 -1117569.45 249.27
-486983.28 -1117499.5 247.92
-486978.37 -1117462.15 245.63
-486999.89 -1117627.77 250.74
-487045.15 -1117975.96 254.55
-487042.11 -1117952.63 254.9
-486982.56 -1117494.53 247.78
-486984.91 -1117512.63 248.08
-487011.85 -1117720.24 253.08
-486987.81 -1117535.35 247.86
-486992.53 -1117571.75 249.26
-487009.75 -1117704.31 252.6
-486987.91 -1117536.5 247.89
-486990.43 -1117556.03 248.76
-487004.36 -1117663.37 251.27
-486978.51 -1117464.5 245.73
-486971.84 -1117413.28 243.94
-487009.94 -1117706.62 252.6
-487012.16 -1117723.7 252.88
-487037.89 -1117921.91 254.97
-486992.67 -1117574.07 249.33
-486988.06 -1117538.79 247.76
-487004.74 -1117667.15 251.44
-486990.44 -1117557.19 248.96
-486988.34 -1117541.06 247.48
-486988.45 -1117542.2 247.37
-487022.37 -1117803.21 254.21
